Scale,Motor,p95_ms
100,Qdrant,1.5563
1000,Qdrant,3.9960
10000,Qdrant,4.3132
100000,Qdrant,7.1280
1000000,Qdrant,2.1422
100,Qdrant,3.9889
1000,Qdrant,4.0108
10000,Qdrant,4.3682
100000,Qdrant,7.1452
1000000,Qdrant,2.3933
100,Qdrant,3.9784
1000,Qdrant,3.9863
10000,Qdrant,4.3662
100000,Qdrant,5.1552
1000000,Qdrant,2.0295
100,Qdrant,4.0139
1000,Qdrant,4.0289
10000,Qdrant,4.3749
100000,Qdrant,7.1957
1000000,Qdrant,2.1425
100,Qdrant,4.0127
1000,Qdrant,4.0070
10000,Qdrant,4.3468
100000,Qdrant,7.1618
1000000,Qdrant,26.6488
100,Qdrant,3.9527
1000,Qdrant,4.0650
10000,Qdrant,4.3003
100000,Qdrant,7.2438
1000000,Qdrant,2.1462
100,Qdrant,4.0761
1000,Qdrant,4.0116
10000,Qdrant,4.3786
100000,Qdrant,7.2672
1000000,Qdrant,2.1487
100,Qdrant,4.0152
1000,Qdrant,4.0266
10000,Qdrant,4.3659
100000,Qdrant,5.2497
1000000,Qdrant,2.1515
100,Qdrant,3.9938
1000,Qdrant,4.0040
10000,Qdrant,4.3620
100000,Qdrant,7.0938
1000000,Qdrant,2.1344
100,Qdrant,3.9799
1000,Qdrant,4.0119
10000,Qdrant,4.3862
100000,Qdrant,5.0765
1000000,Qdrant,2.0222
100,pgvector,0.5768
1000,pgvector,0.6607
10000,pgvector,0.8793
100000,pgvector,1.2149
1000000,pgvector,5.1940
100,pgvector,0.5519
1000,pgvector,0.6575
10000,pgvector,0.8608
100000,pgvector,1.1996
1000000,pgvector,5.1577
100,pgvector,0.5205
1000,pgvector,0.6357
10000,pgvector,0.8519
100000,pgvector,1.2090
1000000,pgvector,5.1049
100,pgvector,0.5657
1000,pgvector,0.6554
10000,pgvector,0.8710
100000,pgvector,1.1878
1000000,pgvector,5.1405
100,pgvector,0.5312
1000,pgvector,0.6518
10000,pgvector,0.8705
100000,pgvector,1.2042
1000000,pgvector,5.1054
100,pgvector,0.5841
1000,pgvector,0.6406
10000,pgvector,0.8797
100000,pgvector,1.1949
1000000,pgvector,5.1306
100,pgvector,0.5681
1000,pgvector,0.6514
10000,pgvector,0.8981
100000,pgvector,1.1952
1000000,pgvector,5.1504
100,pgvector,0.5660
1000,pgvector,0.6542
10000,pgvector,0.8665
100000,pgvector,1.2058
1000000,pgvector,5.1965
100,pgvector,0.5128
1000,pgvector,0.6575
10000,pgvector,0.8638
100000,pgvector,1.1990
1000000,pgvector,5.1554
100,pgvector,0.5052
1000,pgvector,0.6522
10000,pgvector,0.8538
100000,pgvector,1.2116
1000000,pgvector,5.1977
100,ChromaDB,4.5683
1000,ChromaDB,2.3032
10000,ChromaDB,2.2713
100000,ChromaDB,2.5988
1000000,ChromaDB,4.6705
100,ChromaDB,4.9168
1000,ChromaDB,5.1374
10000,ChromaDB,5.0908
100000,ChromaDB,5.8079
1000000,ChromaDB,6.7119
100,ChromaDB,6.2805
1000,ChromaDB,6.5112
10000,ChromaDB,6.4882
100000,ChromaDB,6.5402
1000000,ChromaDB,6.9634
100,ChromaDB,6.5744
1000,ChromaDB,6.6978
10000,ChromaDB,6.7758
100000,ChromaDB,6.9571
1000000,ChromaDB,7.0931
100,ChromaDB,6.5015
1000,ChromaDB,6.4883
10000,ChromaDB,6.7689
100000,ChromaDB,6.8700
1000000,ChromaDB,7.0759
100,ChromaDB,6.6086
1000,ChromaDB,6.8079
10000,ChromaDB,6.9847
100000,ChromaDB,7.1949
1000000,ChromaDB,3.3423
100,ChromaDB,2.9074
1000,ChromaDB,2.9255
10000,ChromaDB,2.9325
100000,ChromaDB,4.7416
1000000,ChromaDB,6.7799
100,ChromaDB,6.4468
1000,ChromaDB,6.4586
10000,ChromaDB,6.5639
100000,ChromaDB,6.6329
1000000,ChromaDB,7.0358
100,ChromaDB,6.4373
1000,ChromaDB,6.5868
10000,ChromaDB,6.5899
100000,ChromaDB,6.8980
1000000,ChromaDB,7.1913
100,ChromaDB,6.6747
1000,ChromaDB,6.5915
10000,ChromaDB,6.8731
100000,ChromaDB,7.0717
1000000,ChromaDB,7.3936
